date,material_id,material_name,unit,daily_demand,stock_level,reorder_point,lead_time_days,unit_cost
2024-02-01,1,Cemento Portland,Sacos,100.26,215.97,200,3,185.5
2024-02-02,1,Cemento Portland,Sacos,92.74,123.23,200,3,185.5
2024-02-03,1,Cemento Portland,Sacos,95.16,28.07,200,3,185.5
2024-02-04,1,Cemento Portland,Sacos,73.77,500.0,200,3,185.5
2024-02-05,1,Cemento Portland,Sacos,121.24,378.76,200,3,185.5
2024-02-06,1,Cemento Portland,Sacos,114.31,264.45,200,3,185.5
2024-02-07,1,Cemento Portland,Sacos,146.76,117.68,200,3,185.5
2024-02-08,1,Cemento Portland,Sacos,99.02,18.67,200,3,185.5
2024-02-09,1,Cemento Portland,Sacos,109.12,500.0,200,3,185.5
2024-02-10,1,Cemento Portland,Sacos,112.53,387.47,200,3,185.5
2024-02-11,1,Cemento Portland,Sacos,95.38,292.09,200,3,185.5
2024-02-12,1,Cemento Portland,Sacos,100.15,191.94,200,3,185.5
2024-02-13,1,Cemento Portland,Sacos,101.19,90.75,200,3,185.5
2024-02-14,1,Cemento Portland,Sacos,101.95,500.0,200,3,185.5
2024-02-15,1,Cemento Portland,Sacos,102.73,397.27,200,3,185.5
2024-02-16,1,Cemento Portland,Sacos,96.58,300.69,200,3,185.5
2024-02-17,1,Cemento Portland,Sacos,101.68,199.01,200,3,185.5
2024-02-18,1,Cemento Portland,Sacos,111.01,88.0,200,3,185.5
2024-02-19,1,Cemento Portland,Sacos,90.75,500.0,200,3,185.5
2024-02-20,1,Cemento Portland,Sacos,95.31,404.69,200,3,185.5
2024-02-21,1,Cemento Portland,Sacos,102.6,302.09,200,3,185.5
2024-02-22,1,Cemento Portland,Sacos,82.17,219.92,200,3,185.5
2024-02-23,1,Cemento Portland,Sacos,121.55,98.37,200,3,185.5
2024-02-24,1,Cemento Portland,Sacos,109.22,0.0,200,3,185.5
2024-02-25,1,Cemento Portland,Sacos,93.9,500.0,200,3,185.5
2024-02-26,1,Cemento Portland,Sacos,105.84,394.16,200,3,185.5
2024-02-27,1,Cemento Portland,Sacos,115.9,278.26,200,3,185.5
2024-02-28,1,Cemento Portland,Sacos,101.17,177.09,200,3,185.5
2024-02-29,1,Cemento Portland,Sacos,101.49,75.6,200,3,185.5
2024-03-01,1,Cemento Portland,Sacos,95.78,500.0,200,3,185.5
2024-03-02,1,Cemento Portland,Sacos,99.2,400.8,200,3,185.5
2024-03-03,1,Cemento Portland,Sacos,99.91,300.89,200,3,185.5
2024-03-04,1,Cemento Portland,Sacos,108.19,192.7,200,3,185.5
2024-03-05,1,Cemento Portland,Sacos,126.51,66.19,200,3,185.5
2024-03-06,1,Cemento Portland,Sacos,111.79,500.0,200,3,185.5
2024-03-07,1,Cemento Portland,Sacos,107.63,392.37,200,3,185.5
2024-03-08,1,Cemento Portland,Sacos,89.53,302.84,200,3,185.5
2024-03-09,1,Cemento Portland,Sacos,109.15,193.69,200,3,185.5
2024-03-10,1,Cemento Portland,Sacos,103.57,90.12,200,3,185.5
2024-03-11,1,Cemento Portland,Sacos,121.83,500.0,200,3,185.5
2024-03-12,1,Cemento Portland,Sacos,107.01,392.99,200,3,185.5
2024-03-13,1,Cemento Portland,Sacos,102.94,290.05,200,3,185.5
2024-03-14,1,Cemento Portland,Sacos,86.86,203.19,200,3,185.5
2024-03-15,1,Cemento Portland,Sacos,109.24,93.95,200,3,185.5
2024-03-16,1,Cemento Portland,Sacos,113.24,0.0,200,3,185.5
2024-03-17,1,Cemento Portland,Sacos,110.89,500.0,200,3,185.5
2024-03-18,1,Cemento Portland,Sacos,101.01,398.99,200,3,185.5
2024-03-19,1,Cemento Portland,Sacos,114.8,284.19,200,3,185.5
2024-03-20,1,Cemento Portland,Sacos,136.54,147.65,200,3,185.5
2024-03-21,1,Cemento Portland,Sacos,112.13,35.52,200,3,185.5
2024-03-22,1,Cemento Portland,Sacos,78.24,500.0,200,3,185.5
2024-03-23,1,Cemento Portland,Sacos,113.65,386.35,200,3,185.5
2024-03-24,1,Cemento Portland,Sacos,102.83,283.51,200,3,185.5
2024-03-25,1,Cemento Portland,Sacos,98.86,184.65,200,3,185.5
2024-03-26,1,Cemento Portland,Sacos,126.09,58.56,200,3,185.5
2024-03-27,1,Cemento Portland,Sacos,119.52,500.0,200,3,185.5
2024-03-28,1,Cemento Portland,Sacos,115.69,384.31,200,3,185.5
2024-03-29,1,Cemento Portland,Sacos,117.21,267.1,200,3,185.5
2024-03-30,1,Cemento Portland,Sacos,99.44,167.66,200,3,185.5
2024-03-31,1,Cemento Portland,Sacos,111.23,56.43,200,3,185.5
2024-04-01,1,Cemento Portland,Sacos,111.22,500.0,200,3,185.5
2024-04-02,1,Cemento Portland,Sacos,132.89,367.11,200,3,185.5
2024-04-03,1,Cemento Portland,Sacos,163.21,203.9,200,3,185.5
2024-04-04,1,Cemento Portland,Sacos,112.38,91.52,200,3,185.5
2024-04-05,1,Cemento Portland,Sacos,136.78,0.0,200,3,185.5
2024-04-06,1,Cemento Portland,Sacos,112.59,500.0,200,3,185.5
2024-04-07,1,Cemento Portland,Sacos,114.77,385.23,200,3,185.5
2024-04-08,1,Cemento Portland,Sacos,122.59,262.64,200,3,185.5
2024-04-09,1,Cemento Portland,Sacos,121.19,141.45,200,3,185.5
2024-04-10,1,Cemento Portland,Sacos,71.17,70.28,200,3,185.5
2024-04-11,1,Cemento Portland,Sacos,96.23,500.0,200,3,185.5
2024-04-12,1,Cemento Portland,Sacos,62.43,437.57,200,3,185.5
2024-04-13,1,Cemento Portland,Sacos,81.82,355.75,200,3,185.5
2024-04-14,1,Cemento Portland,Sacos,65.82,289.93,200,3,185.5
2024-04-15,1,Cemento Portland,Sacos,55.15,234.79,200,3,185.5
2024-04-16,1,Cemento Portland,Sacos,79.81,154.98,200,3,185.5
2024-04-17,1,Cemento Portland,Sacos,106.59,48.39,200,3,185.5
2024-04-18,1,Cemento Portland,Sacos,85.55,500.0,200,3,185.5
2024-04-19,1,Cemento Portland,Sacos,47.07,452.93,200,3,185.5
2024-04-20,1,Cemento Portland,Sacos,80.05,372.88,200,3,185.5
2024-04-21,1,Cemento Portland,Sacos,116.57,256.31,200,3,185.5
2024-04-22,1,Cemento Portland,Sacos,117.25,139.06,200,3,185.5
2024-04-23,1,Cemento Portland,Sacos,130.51,8.55,200,3,185.5
2024-04-24,1,Cemento Portland,Sacos,121.27,500.0,200,3,185.5
2024-04-25,1,Cemento Portland,Sacos,108.55,391.45,200,3,185.5
2024-04-26,1,Cemento Portland,Sacos,118.77,272.68,200,3,185.5
2024-04-27,1,Cemento Portland,Sacos,115.17,157.51,200,3,185.5
2024-04-28,1,Cemento Portland,Sacos,115.22,42.29,200,3,185.5
2024-04-29,1,Cemento Portland,Sacos,128.3,500.0,200,3,185.5
2024-04-30,1,Cemento Portland,Sacos,129.98,370.02,200,3,185.5
2024-05-01,1,Cemento Portland,Sacos,136.55,233.47,200,3,185.5
2024-05-02,1,Cemento Portland,Sacos,149.18,84.29,200,3,185.5
2024-05-03,1,Cemento Portland,Sacos,111.01,0.0,200,3,185.5
2024-05-04,1,Cemento Portland,Sacos,129.1,500.0,200,3,185.5
2024-05-05,1,Cemento Portland,Sacos,129.33,370.67,200,3,185.5
2024-05-06,1,Cemento Portland,Sacos,123.42,247.26,200,3,185.5
2024-05-07,1,Cemento Portland,Sacos,154.65,92.61,200,3,185.5
2024-05-08,1,Cemento Portland,Sacos,120.12,0.0,200,3,185.5
2024-05-09,1,Cemento Portland,Sacos,142.91,500.0,200,3,185.5
2024-05-10,1,Cemento Portland,Sacos,134.18,365.82,200,3,185.5
2024-05-11,1,Cemento Portland,Sacos,114.09,251.72,200,3,185.5
2024-05-12,1,Cemento Portland,Sacos,145.09,106.64,200,3,185.5
2024-05-13,1,Cemento Portland,Sacos,118.49,0.0,200,3,185.5
2024-05-14,1,Cemento Portland,Sacos,157.61,500.0,200,3,185.5
2024-05-15,1,Cemento Portland,Sacos,133.69,366.31,200,3,185.5
2024-05-16,1,Cemento Portland,Sacos,133.52,232.8,200,3,185.5
2024-05-17,1,Cemento Portland,Sacos,121.64,111.15,200,3,185.5
2024-05-18,1,Cemento Portland,Sacos,122.37,0.0,200,3,185.5
2024-05-19,1,Cemento Portland,Sacos,140.06,500.0,200,3,185.5
2024-05-20,1,Cemento Portland,Sacos,144.18,355.82,200,3,185.5
2024-05-21,1,Cemento Portland,Sacos,166.04,189.78,200,3,185.5
2024-05-22,1,Cemento Portland,Sacos,131.75,58.03,200,3,185.5
2024-05-23,1,Cemento Portland,Sacos,133.89,500.0,200,3,185.5
2024-05-24,1,Cemento Portland,Sacos,141.9,358.1,200,3,185.5
2024-05-25,1,Cemento Portland,Sacos,136.0,222.09,200,3,185.5
2024-05-26,1,Cemento Portland,Sacos,127.76,94.34,200,3,185.5
2024-05-27,1,Cemento Portland,Sacos,127.39,0.0,200,3,185.5
2024-05-28,1,Cemento Portland,Sacos,162.06,500.0,200,3,185.5
2024-05-29,1,Cemento Portland,Sacos,133.53,366.47,200,3,185.5
2024-05-30,1,Cemento Portland,Sacos,132.79,233.68,200,3,185.5
2024-05-31,1,Cemento Portland,Sacos,179.82,53.87,200,3,185.5
2024-06-01,1,Cemento Portland,Sacos,129.21,0.0,200,3,185.5
2024-06-02,1,Cemento Portland,Sacos,136.56,500.0,200,3,185.5
2024-06-03,1,Cemento Portland,Sacos,130.76,369.24,200,3,185.5
2024-06-04,1,Cemento Portland,Sacos,144.19,225.05,200,3,185.5
2024-06-05,1,Cemento Portland,Sacos,156.39,68.66,200,3,185.5
2024-06-06,1,Cemento Portland,Sacos,160.35,0.0,200,3,185.5
2024-06-07,1,Cemento Portland,Sacos,130.87,500.0,200,3,185.5
2024-06-08,1,Cemento Portland,Sacos,113.9,386.1,200,3,185.5
2024-06-09,1,Cemento Portland,Sacos,138.67,247.43,200,3,185.5
2024-06-10,1,Cemento Portland,Sacos,127.1,120.33,200,3,185.5
2024-06-11,1,Cemento Portland,Sacos,152.11,0.0,200,3,185.5
2024-06-12,1,Cemento Portland,Sacos,145.21,500.0,200,3,185.5
2024-06-13,1,Cemento Portland,Sacos,121.52,378.48,200,3,185.5
2024-06-14,1,Cemento Portland,Sacos,137.68,240.8,200,3,185.5
2024-06-15,1,Cemento Portland,Sacos,122.71,118.09,200,3,185.5
2024-06-16,1,Cemento Portland,Sacos,156.75,0.0,200,3,185.5
2024-06-17,1,Cemento Portland,Sacos,140.46,500.0,200,3,185.5
2024-06-18,1,Cemento Portland,Sacos,158.43,341.57,200,3,185.5
2024-06-19,1,Cemento Portland,Sacos,149.35,192.22,200,3,185.5
2024-06-20,1,Cemento Portland,Sacos,149.84,42.37,200,3,185.5
2024-06-21,1,Cemento Portland,Sacos,158.8,500.0,200,3,185.5
2024-06-22,1,Cemento Portland,Sacos,123.37,376.63,200,3,185.5
2024-06-23,1,Cemento Portland,Sacos,125.86,250.77,200,3,185.5
2024-06-24,1,Cemento Portland,Sacos,139.74,111.03,200,3,185.5
2024-06-25,1,Cemento Portland,Sacos,167.32,0.0,200,3,185.5
2024-06-26,1,Cemento Portland,Sacos,158.3,500.0,200,3,185.5
2024-06-27,1,Cemento Portland,Sacos,141.52,358.48,200,3,185.5
2024-06-28,1,Cemento Portland,Sacos,138.06,220.42,200,3,185.5
2024-06-29,1,Cemento Portland,Sacos,129.89,90.53,200,3,185.5
2024-06-30,1,Cemento Portland,Sacos,140.21,0.0,200,3,185.5
2024-07-01,1,Cemento Portland,Sacos,162.42,500.0,200,3,185.5
2024-07-02,1,Cemento Portland,Sacos,155.94,344.06,200,3,185.5
2024-07-03,1,Cemento Portland,Sacos,149.01,195.05,200,3,185.5
2024-07-04,1,Cemento Portland,Sacos,150.78,44.27,200,3,185.5
2024-07-05,1,Cemento Portland,Sacos,134.17,500.0,200,3,185.5
2024-07-06,1,Cemento Portland,Sacos,154.33,345.67,200,3,185.5
2024-07-07,1,Cemento Portland,Sacos,154.25,191.42,200,3,185.5
2024-07-08,1,Cemento Portland,Sacos,145.43,45.98,200,3,185.5
2024-07-09,1,Cemento Portland,Sacos,141.54,500.0,200,3,185.5
2024-07-10,1,Cemento Portland,Sacos,139.83,360.17,200,3,185.5
2024-07-11,1,Cemento Portland,Sacos,138.99,221.17,200,3,185.5
2024-07-12,1,Cemento Portland,Sacos,144.94,76.24,200,3,185.5
2024-07-13,1,Cemento Portland,Sacos,113.75,0.0,200,3,185.5
2024-07-14,1,Cemento Portland,Sacos,237.78,500.0,200,3,185.5
2024-07-15,1,Cemento Portland,Sacos,142.17,357.83,200,3,185.5
2024-07-16,1,Cemento Portland,Sacos,136.24,221.6,200,3,185.5
2024-07-17,1,Cemento Portland,Sacos,132.45,89.14,200,3,185.5
2024-07-18,1,Cemento Portland,Sacos,192.57,0.0,200,3,185.5
2024-07-19,1,Cemento Portland,Sacos,138.46,500.0,200,3,185.5
2024-07-20,1,Cemento Portland,Sacos,141.49,358.51,200,3,185.5
2024-07-21,1,Cemento Portland,Sacos,119.82,238.69,200,3,185.5
2024-07-22,1,Cemento Portland,Sacos,147.42,91.27,200,3,185.5
2024-07-23,1,Cemento Portland,Sacos,159.85,0.0,200,3,185.5
2024-07-24,1,Cemento Portland,Sacos,120.37,500.0,200,3,185.5
2024-07-25,1,Cemento Portland,Sacos,157.57,342.43,200,3,185.5
2024-07-26,1,Cemento Portland,Sacos,142.94,199.49,200,3,185.5
2024-07-27,1,Cemento Portland,Sacos,124.23,75.25,200,3,185.5
2024-07-28,1,Cemento Portland,Sacos,149.87,500.0,200,3,185.5
2024-07-29,1,Cemento Portland,Sacos,116.88,383.12,200,3,185.5
2024-07-30,1,Cemento Portland,Sacos,136.2,246.92,200,3,185.5
2024-07-31,1,Cemento Portland,Sacos,141.93,104.98,200,3,185.5
2024-08-01,1,Cemento Portland,Sacos,120.63,0.0,200,3,185.5
2024-08-02,1,Cemento Portland,Sacos,137.04,500.0,200,3,185.5
2024-08-03,1,Cemento Portland,Sacos,127.9,372.1,200,3,185.5
2024-08-04,1,Cemento Portland,Sacos,117.52,254.58,200,3,185.5
2024-08-05,1,Cemento Portland,Sacos,147.55,107.02,200,3,185.5
2024-08-06,1,Cemento Portland,Sacos,154.31,0.0,200,3,185.5
2024-08-07,1,Cemento Portland,Sacos,163.76,500.0,200,3,185.5
2024-08-08,1,Cemento Portland,Sacos,135.09,364.91,200,3,185.5
2024-08-09,1,Cemento Portland,Sacos,121.31,243.6,200,3,185.5
2024-08-10,1,Cemento Portland,Sacos,116.73,126.87,200,3,185.5
2024-08-11,1,Cemento Portland,Sacos,143.93,0.0,200,3,185.5
2024-08-12,1,Cemento Portland,Sacos,140.71,500.0,200,3,185.5
2024-08-13,1,Cemento Portland,Sacos,141.6,358.4,200,3,185.5
2024-08-14,1,Cemento Portland,Sacos,153.71,204.69,200,3,185.5
2024-08-15,1,Cemento Portland,Sacos,128.1,76.58,200,3,185.5
2024-08-16,1,Cemento Portland,Sacos,151.46,0.0,200,3,185.5
2024-08-17,1,Cemento Portland,Sacos,121.15,500.0,200,3,185.5
2024-08-18,1,Cemento Portland,Sacos,137.98,362.02,200,3,185.5
2024-08-19,1,Cemento Portland,Sacos,138.04,223.98,200,3,185.5
2024-08-20,1,Cemento Portland,Sacos,143.35,80.62,200,3,185.5
2024-08-21,1,Cemento Portland,Sacos,136.39,0.0,200,3,185.5
2024-08-22,1,Cemento Portland,Sacos,150.98,500.0,200,3,185.5
2024-08-23,1,Cemento Portland,Sacos,122.2,377.8,200,3,185.5
2024-08-24,1,Cemento Portland,Sacos,138.19,239.61,200,3,185.5
2024-08-25,1,Cemento Portland,Sacos,113.14,126.48,200,3,185.5
2024-08-26,1,Cemento Portland,Sacos,113.64,12.84,200,3,185.5
2024-08-27,1,Cemento Portland,Sacos,144.73,500.0,200,3,185.5
2024-08-28,1,Cemento Portland,Sacos,135.89,364.11,200,3,185.5
2024-08-29,1,Cemento Portland,Sacos,131.4,232.71,200,3,185.5
2024-08-30,1,Cemento Portland,Sacos,112.59,120.12,200,3,185.5
2024-08-31,1,Cemento Portland,Sacos,121.66,0.0,200,3,185.5
2024-09-01,1,Cemento Portland,Sacos,115.04,500.0,200,3,185.5
2024-09-02,1,Cemento Portland,Sacos,155.85,344.15,200,3,185.5
2024-09-03,1,Cemento Portland,Sacos,143.94,200.21,200,3,185.5
2024-09-04,1,Cemento Portland,Sacos,135.27,64.95,200,3,185.5
2024-09-05,1,Cemento Portland,Sacos,139.86,0.0,200,3,185.5
2024-09-06,1,Cemento Portland,Sacos,122.73,500.0,200,3,185.5
2024-09-07,1,Cemento Portland,Sacos,121.52,378.48,200,3,185.5
2024-09-08,1,Cemento Portland,Sacos,115.35,263.13,200,3,185.5
2024-09-09,1,Cemento Portland,Sacos,122.94,140.19,200,3,185.5
2024-09-10,1,Cemento Portland,Sacos,137.24,2.95,200,3,185.5
2024-09-11,1,Cemento Portland,Sacos,142.69,500.0,200,3,185.5
2024-09-12,1,Cemento Portland,Sacos,125.55,374.45,200,3,185.5
2024-09-13,1,Cemento Portland,Sacos,113.92,260.52,200,3,185.5
2024-09-14,1,Cemento Portland,Sacos,114.61,145.91,200,3,185.5
2024-09-15,1,Cemento Portland,Sacos,109.71,36.2,200,3,185.5
2024-09-16,1,Cemento Portland,Sacos,122.74,500.0,200,3,185.5
2024-09-17,1,Cemento Portland,Sacos,124.4,375.6,200,3,185.5
2024-09-18,1,Cemento Portland,Sacos,136.53,239.08,200,3,185.5
2024-09-19,1,Cemento Portland,Sacos,149.92,89.15,200,3,185.5
2024-09-20,1,Cemento Portland,Sacos,116.35,0.0,200,3,185.5
2024-09-21,1,Cemento Portland,Sacos,115.16,500.0,200,3,185.5
2024-09-22,1,Cemento Portland,Sacos,107.63,392.37,200,3,185.5
2024-09-23,1,Cemento Portland,Sacos,115.61,276.76,200,3,185.5
2024-09-24,1,Cemento Portland,Sacos,121.61,155.15,200,3,185.5
2024-09-25,1,Cemento Portland,Sacos,101.06,54.09,200,3,185.5
2024-09-26,1,Cemento Portland,Sacos,127.66,500.0,200,3,185.5
2024-09-27,1,Cemento Portland,Sacos,102.56,397.44,200,3,185.5
2024-09-28,1,Cemento Portland,Sacos,116.64,280.8,200,3,185.5
2024-09-29,1,Cemento Portland,Sacos,110.96,169.83,200,3,185.5
2024-09-30,1,Cemento Portland,Sacos,119.61,50.23,200,3,185.5
2024-10-01,1,Cemento Portland,Sacos,133.0,500.0,200,3,185.5
2024-10-02,1,Cemento Portland,Sacos,127.25,372.75,200,3,185.5
2024-10-03,1,Cemento Portland,Sacos,124.44,248.31,200,3,185.5
2024-10-04,1,Cemento Portland,Sacos,122.07,126.24,200,3,185.5
2024-10-05,1,Cemento Portland,Sacos,115.33,10.91,200,3,185.5
2024-10-06,1,Cemento Portland,Sacos,110.25,500.0,200,3,185.5
2024-10-07,1,Cemento Portland,Sacos,136.83,363.17,200,3,185.5
2024-10-08,1,Cemento Portland,Sacos,123.9,239.27,200,3,185.5
2024-10-09,1,Cemento Portland,Sacos,144.91,94.36,200,3,185.5
2024-10-10,1,Cemento Portland,Sacos,106.17,0.0,200,3,185.5
2024-10-11,1,Cemento Portland,Sacos,99.3,500.0,200,3,185.5
2024-10-12,1,Cemento Portland,Sacos,113.72,386.28,200,3,185.5
2024-10-13,1,Cemento Portland,Sacos,80.67,305.61,200,3,185.5
2024-10-14,1,Cemento Portland,Sacos,118.75,186.85,200,3,185.5
2024-10-15,1,Cemento Portland,Sacos,128.91,57.95,200,3,185.5
2024-10-16,1,Cemento Portland,Sacos,136.08,500.0,200,3,185.5
2024-10-17,1,Cemento Portland,Sacos,105.21,394.79,200,3,185.5
2024-10-18,1,Cemento Portland,Sacos,108.19,286.6,200,3,185.5
2024-10-19,1,Cemento Portland,Sacos,90.76,195.85,200,3,185.5
2024-10-20,1,Cemento Portland,Sacos,87.22,108.63,200,3,185.5
2024-10-21,1,Cemento Portland,Sacos,129.4,500.0,200,3,185.5
2024-10-22,1,Cemento Portland,Sacos,131.85,368.15,200,3,185.5
2024-10-23,1,Cemento Portland,Sacos,120.87,247.28,200,3,185.5
2024-10-24,1,Cemento Portland,Sacos,102.62,144.66,200,3,185.5
2024-10-25,1,Cemento Portland,Sacos,114.69,29.97,200,3,185.5
2024-10-26,1,Cemento Portland,Sacos,114.37,500.0,200,3,185.5
2024-10-27,1,Cemento Portland,Sacos,120.43,379.57,200,3,185.5
2024-10-28,1,Cemento Portland,Sacos,92.24,287.33,200,3,185.5
2024-10-29,1,Cemento Portland,Sacos,109.29,178.04,200,3,185.5
2024-10-30,1,Cemento Portland,Sacos,106.17,71.87,200,3,185.5
2024-10-31,1,Cemento Portland,Sacos,103.32,500.0,200,3,185.5
2024-11-01,1,Cemento Portland,Sacos,109.7,390.3,200,3,185.5
2024-11-02,1,Cemento Portland,Sacos,74.44,315.85,200,3,185.5
2024-11-03,1,Cemento Portland,Sacos,90.86,224.99,200,3,185.5
2024-11-04,1,Cemento Portland,Sacos,102.11,122.88,200,3,185.5
2024-11-05,1,Cemento Portland,Sacos,111.88,11.0,200,3,185.5
2024-11-06,1,Cemento Portland,Sacos,111.39,500.0,200,3,185.5
2024-11-07,1,Cemento Portland,Sacos,100.74,399.26,200,3,185.5
2024-11-08,1,Cemento Portland,Sacos,125.46,273.8,200,3,185.5
2024-11-09,1,Cemento Portland,Sacos,93.29,180.52,200,3,185.5
2024-11-10,1,Cemento Portland,Sacos,100.37,80.15,200,3,185.5
2024-11-11,1,Cemento Portland,Sacos,112.69,500.0,200,3,185.5
2024-11-12,1,Cemento Portland,Sacos,98.19,401.81,200,3,185.5
2024-11-13,1,Cemento Portland,Sacos,96.84,304.96,200,3,185.5
2024-11-14,1,Cemento Portland,Sacos,109.38,195.58,200,3,185.5
2024-11-15,1,Cemento Portland,Sacos,115.25,80.33,200,3,185.5
2024-11-16,1,Cemento Portland,Sacos,113.75,500.0,200,3,185.5
2024-11-17,1,Cemento Portland,Sacos,82.29,417.71,200,3,185.5
2024-11-18,1,Cemento Portland,Sacos,114.84,302.88,200,3,185.5
2024-11-19,1,Cemento Portland,Sacos,106.73,196.15,200,3,185.5
2024-11-20,1,Cemento Portland,Sacos,120.61,75.54,200,3,185.5
2024-11-21,1,Cemento Portland,Sacos,103.73,500.0,200,3,185.5
2024-11-22,1,Cemento Portland,Sacos,104.36,395.64,200,3,185.5
2024-11-23,1,Cemento Portland,Sacos,109.11,286.53,200,3,185.5
2024-11-24,1,Cemento Portland,Sacos,110.32,176.21,200,3,185.5
2024-11-25,1,Cemento Portland,Sacos,102.81,73.4,200,3,185.5
2024-11-26,1,Cemento Portland,Sacos,86.54,500.0,200,3,185.5
2024-11-27,1,Cemento Portland,Sacos,95.03,404.97,200,3,185.5
2024-11-28,1,Cemento Portland,Sacos,123.9,281.06,200,3,185.5
2024-11-29,1,Cemento Portland,Sacos,103.42,177.65,200,3,185.5
2024-11-30,1,Cemento Portland,Sacos,79.26,98.38,200,3,185.5
2024-12-01,1,Cemento Portland,Sacos,82.7,515.68,200,3,185.5
2024-12-02,1,Cemento Portland,Sacos,113.12,402.56,200,3,185.5
2024-12-03,1,Cemento Portland,Sacos,127.3,275.26,200,3,185.5
2024-12-04,1,Cemento Portland,Sacos,102.54,172.72,200,3,185.5
2024-12-05,1,Cemento Portland,Sacos,112.17,60.55,200,3,185.5
2024-12-06,1,Cemento Portland,Sacos,106.48,500.0,200,3,185.5
2024-12-07,1,Cemento Portland,Sacos,92.8,407.2,200,3,185.5
2024-12-08,1,Cemento Portland,Sacos,97.24,309.96,200,3,185.5
2024-12-09,1,Cemento Portland,Sacos,102.48,207.48,200,3,185.5
2024-12-10,1,Cemento Portland,Sacos,118.86,88.62,200,3,185.5
2024-12-11,1,Cemento Portland,Sacos,110.71,0.0,200,3,185.5
2024-12-12,1,Cemento Portland,Sacos,78.17,500.0,200,3,185.5
2024-12-13,1,Cemento Portland,Sacos,91.94,408.06,200,3,185.5
2024-12-14,1,Cemento Portland,Sacos,77.04,331.02,200,3,185.5
2024-12-15,1,Cemento Portland,Sacos,89.3,241.72,200,3,185.5
2024-12-16,1,Cemento Portland,Sacos,95.28,146.44,200,3,185.5
2024-12-17,1,Cemento Portland,Sacos,95.01,51.43,200,3,185.5
2024-12-18,1,Cemento Portland,Sacos,86.36,500.0,200,3,185.5
2024-12-19,1,Cemento Portland,Sacos,71.02,428.98,200,3,185.5
